"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1974 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1975 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1976 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1977 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1978 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1979 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1980 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1981 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1982 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1983 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1984 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1985 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1986 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1987 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1988 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1989 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1990 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1991 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1992 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1993 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1994 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1995 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1996 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1997 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1998 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1999 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2000 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2001 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2002 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2003 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2004 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2005 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2006 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2007 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2008 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2009 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2010 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2011 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2012 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2013 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2014 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2015 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2016 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2017 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2018 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2019 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2020 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2021 (ha)"
"Boa Vista do Buric�","4302204","-27.669300000000","-54.108199999990","100","100","90","100","100","75","75","40","40","50","40","55","55","55","55","55","20","20","8","5","5","3","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Boa Vista do Cadeado","4302220","-28.571600000000","-53.813800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","70","70","100","50","-","30","30","30","30","10","10","-","-","-","-","-","-","-","-","-","-"
"Boa Vista do Incra","4302238","-28.809200000000","-53.387400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","26","26","26","20","5","20","20","20","20","20","20","5","-","-","-","-","-","-","-","-","-"
"Boa Vista do Sul","4302253","-29.354399999990","-51.668700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","-","-","-","-","-","-","-","-","-"
"Bom Jesus","4302303","-28.669699999990","-50.429499999990","-","-","-","-","-","-","-","3","3","3","3","3","3","5","5","5","5","5","5","3","3","3","-","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bom Princ�pio","4302352","-29.485600000000","-51.354799999990","...","...","...","...","...","...","...","...","...","122","70","70","70","70","70","20","44","44","44","44","44","44","20","44","44","25","25","25","25","25","0","-","-","-","-","4","4","4","4","4","4","4","5","5","5","5","5","5"
"Bom Progresso","4302378","-27.539899999990","-53.871600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","15","18","18","18","14","28","28","13","13","20","15","15","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bom Retiro do Sul","4302402","-29.608599999990","-51.946399999990","230","217","348","348","500","83","300","107","150","140","30","30","40","70","70","70","70","45","45","39","39","57","30","120","5","-","-","-","-","16","20","15","9","10","19","10","8","28","49","34","34","34","34","34","34","34","34","34"
"Boqueir�o do Le�o","4302451","-29.304600000000","-52.428400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","75","75","0","75","75","78","78","50","30","30","30","30","30","25","25","25","15","25","25","15","15","15","18","18","18","18","12","12","3","3","3","3","3"
"Bossoroca","4302501","-28.729099999990","-54.903500000000","1.020","700","720","900","1.000","1.000","1.000","230","430","540","490","480","250","305","305","155","155","350","215","255","355","355","355","355","355","450","900","300","300","50","200","170","50","55","90","108","108","-","-","-","-","-","-","-","-","-","-","-"
"Bozano","4302584","-28.367460000000","-53.772239999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","10","10","10","8","10","10","5","5","5","5","5","-","-","-","-","-","-","-","-","-"
"Braga","4302600","-27.617300000000","-53.740499999990","50","45","43","50","55","-","80","100","120","120","120","80","100","100","130","130","130","130","85","150","150","150","23","120","120","120","120","21","19","15","15","9","10","10","5","5","3","-","-","-","-","-","-","-","-","-","-","-"
"Brochier","4302659","-29.550100000000","-51.594499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","130","30","30","30","16","16","16","12","14","10","10","10","2","2","2","2","4","4","4","4","4","4","4","4","4","4","4","2","2","1","1","1","1"
"Buti�","4302709","-30.117899999990","-51.960099999990","1.988","2.272","2.721","4.300","4.500","1.914","2.400","2.600","2.600","2.760","3.500","3.200","3.300","3.500","3.000","3.500","3.370","3.370","3.000","1.074","1.128","900","480","750","750","1.100","1.100","1.187","1.200","1.200","1.250","1.000","1.200","1.550","1.550","1.500","1.300","1.650","1.200","1.200","1.200","1.300","1.200","800","1.200","1.200","160","800"
"Ca�apava do Sul","4302808","-30.514399999990","-53.482700000000","1.994","1.867","2.704","2.200","2.200","2.206","3.000","2.800","3.000","1.900","2.450","2.455","1.000","1.000","2.510","3.010","3.010","3.010","3.000","3.505","3.820","4.020","3.693","3.220","3.720","4.520","3.020","3.700","3.300","3.000","3.800","3.500","3.800","3.800","3.800","4.000","4.000","3.867","3.000","3.694","3.600","3.600","3.600","3.250","3.120","2.950","2.714","2.964"
"Cacequi","4302907","-29.888300000000","-54.822000000000","7.383","8.366","9.712","10.200","6.500","8.939","10.000","9.780","10.000","9.800","12.000","11.000","11.000","11.000","11.000","15.040","15.000","16.000","16.500","16.500","17.000","16.000","12.500","11.250","12.500","17.500","17.500","16.000","16.000","17.000","17.000","16.500","16.000","16.000","16.500","16.500","16.000","17.000","16.250","15.000","16.000","16.500","13.549","13.967","14.467","11.508","11.156","12.293"
"Cachoeira do Sul","4303004","-30.033000000000","-52.892800000000","23.957","22.615","25.441","25.500","17.200","20.605","22.500","24.500","26.000","20.930","25.600","25.100","18.850","28.100","28.600","27.200","24.100","27.900","27.600","28.120","28.105","28.120","26.720","25.960","24.560","29.260","29.975","33.750","33.600","34.500","39.200","39.554","38.423","37.270","38.600","39.360","28.980","41.000","33.444","32.650","33.420","33.068","30.929","29.950","28.720","24.738","25.037","26.135"
"Cachoeirinha","4303103","-29.947199999990","-51.101599999990","75","14","51","42","50","73","16","76","76","80","350","200","40","27","50","20","20","15","13","20","18","18","12","12","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","...","...","...","...","...","...","...","..."
"Cacique Doble","4303202","-27.766999999990","-51.659700000000","100","120","125","150","100","100","98","207","200","100","100","100","150","150","150","150","150","150","150","120","120","120","39","100","100","100","100","10","10","10","10","10","5","5","5","5","1","-","5","-","-","-","-","-","-","-","-","-"
"Caibat�","4303301","-28.290500000000","-54.645400000000","635","550","360","170","150","150","150","48","168","140","140","135","140","160","160","110","100","90","145","215","215","265","250","265","215","215","215","205","205","205","105","75","75","75","75","50","-","-","-","30","25","30","25","30","30","32","30","30"
"Cai�ara","4303400","-27.279100000000","-53.425699999990","50","172","50","172","-","-","50","157","150","152","154","145","145","145","140","130","130","0","130","130","130","130","-","130","130","130","130","130","130","130","130","130","130","130","130","10","10","10","10","10","5","5","5","12","5","5","5","5"
"Camaqu�","4303509","-30.848900000000","-51.804299999990","25.000","25.898","28.866","26.500","25.300","22.045","26.002","27.361","28.002","26.322","30.000","30.010","33.010","33.020","33.000","27.828","20.028","25.030","29.005","29.005","25.515","25.535","24.000","23.420","24.020","26.020","26.020","25.020","28.788","29.000","29.850","29.250","29.250","27.825","31.375","33.022","31.510","33.100","33.870","32.442","35.163","34.300","35.507","35.400","32.658","29.590","28.586","31.160"
"Camargo","4303558","-28.588000000000","-52.200299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","30","0","20","20","20","20","25","20","20","20","5","5","5","5","5","-","8","8","8","4","2","-","-","-","-","-","-","-","-","-","-","-"
"Cambar� do Sul","4303608","-29.047400000000","-50.146500000000","20","20","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Campestre da Serra","4303673","-28.792600000000","-51.094099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","16","15","-","15","15","15","15","10","5","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
