"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1974 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1975 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1976 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1977 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1978 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1979 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1980 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1981 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1982 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1983 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1984 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1985 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1986 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1987 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1988 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1989 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1990 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1991 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1992 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1993 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1994 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1995 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1996 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1997 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1998 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1999 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2000 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2001 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2002 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2003 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2004 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2005 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2006 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2007 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2008 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2009 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2010 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2011 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2012 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2013 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2014 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2015 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2016 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2017 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2018 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2019 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2020 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2021 (ha)"
"Marau","4311809","-28.449800000000","-52.198599999990","510","530","312","1.200","500","550","540","797","760","580","580","580","580","330","280","210","200","100","200","140","140","150","150","150","150","150","150","120","120","100","70","-","70","50","50","20","2","2","-","-","-","-","-","-","-","-","-","-"
"Marcelino Ramos","4311908","-27.467600000000","-51.909500000000","150","150","250","300","-","120","23","100","100","80","40","40","40","40","40","40","40","0","50","50","30","30","85","85","25","25","25","25","25","25","25","-","25","25","25","25","10","10","7","-","-","-","-","-","-","-","-","-"
"Mariana Pimentel","4311981","-30.353100000000","-51.580300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","541","541","802","480","654","654","502","502","502","502","502","502","492","602","542","602","622","752","752","730","810","810","915","915","915","915","800","800","800"
"Mariano Moro","4312005","-27.356800000000","-52.146700000000","200","104","160","150","-","120","50","86","90","40","20","20","30","30","30","32","32","0","32","32","30","30","22","20","25","25","25","15","15","15","15","15","15","10","10","6","6","6","2","-","-","-","-","-","-","-","-","-"
"Marques de Souza","4312054","-29.331099999990","-52.097299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","19","19","19","19","19","19","12","12","-","12","12","12","10","4","5","4","2","-","-","-","-","-","-","-","-"
"Mata","4312104","-29.564900000000","-54.464100000000","870","1.032","1.114","958","960","744","960","960","960","703","814","850","950","950","930","930","915","910","1.010","1.010","1.110","1.475","1.505","1.505","1.500","1.500","1.600","1.600","1.600","1.600","1.600","1.555","1.600","1.600","1.600","1.800","1.800","1.750","1.300","1.300","1.300","1.300","1.300","1.800","1.300","1.170","1.170","1.300"
"Mato Castelhano","4312138","-28.280000000000","-52.193199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","44","50","50","70","90","80","75","20","20","15","15","20","13","15","10","10","10","10","10","5","5","5","5","5","5","5","5","5","5"
"Mato Leit�o","4312153","-29.528500000000","-52.127800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","50","50","-","40","20","20","20","-","-","3","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mato Queimado","4312179","-28.247500000000","-54.619199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","3","3","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Maximiliano de Almeida","4312203","-27.632500000000","-51.802100000000","200","72","100","105","180","150","150","146","150","110","110","120","120","120","120","120","150","0","150","150","150","150","32","60","20","20","20","20","20","20","20","-","10","2","2","2","2","2","2","2","2","-","-","-","-","-","-","-"
"Minas do Le�o","4312252","-30.134599999990","-52.042299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.634","2.574","2.300","3.200","1.850","1.850","2.200","3.000","3.663","3.700","3.600","3.700","3.700","4.000","4.000","5.500","5.000","4.200","4.100","3.020","2.900","2.900","2.900","1.525","1.791","1.800","1.800","1.692","1.600"
"Miragua�","4312302","-27.497000000000","-53.689100000000","150","150","150","150","150","140","150","220","220","100","120","120","120","120","120","120","120","120","132","103","103","32","28","32","32","32","32","17","10","10","10","10","10","10","10","10","5","-","-","-","-","-","-","-","-","-","-","-"
"Montauri","4312351","-28.646200000000","-52.076700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","23","23","0","23","23","23","23","18","15","6","6","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Monte Alegre dos Campos","4312377","-28.680499999990","-50.783400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Monte Belo do Sul","4312385","-29.160699999990","-51.633299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Montenegro","4312401","-29.682400000000","-51.467900000000","183","202","216","500","200","310","98","351","451","264","466","466","360","360","360","170","320","320","320","367","367","367","290","317","317","270","260","260","260","260","260","260","410","410","410","410","410","410","410","410","410","410","410","450","450","300","300","300"
"Morma�o","4312427","-28.696800000000","-52.699900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","40","40","110","77","50","50","50","50","50","50","20","20","-","5","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-"
"Morrinhos do Sul","4312443","-29.357800000000","-49.932800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","575","850","850","800","900","915","915","915","915","1.215","1.215","857","1.460","1.460","1.240","1.240","1.445","1.445","1.435","1.445","1.440","1.445","1.445","1.445","1.445","1.445","1.445","1.445","1.445"
"Morro Redondo","4312450","-31.588699999990","-52.626100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","15","15","15","15","15","10","-","-","-","-","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Morro Reuter","4312476","-29.537900000000","-51.081099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","100","50","50","35","35","35","35","35","35","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"Mostardas","4312500","-31.105399999990","-50.916699999990","9.570","11.356","12.618","9.600","9.050","11.756","9.500","16.600","12.700","11.800","17.000","17.200","18.500","19.400","20.500","19.020","26.060","23.850","27.000","33.601","32.000","33.300","30.000","30.000","30.000","34.600","34.600","33.000","33.000","32.000","34.022","37.160","33.296","33.397","35.540","36.250","37.069","37.886","37.786","37.786","37.900","38.919","39.896","39.676","38.807","33.160","30.247","31.620"
"Mu�um","4312609","-29.163000000000","-51.871400000000","70","70","90","100","100","40","45","110","110","100","100","145","120","120","110","110","80","0","80","80","50","40","48","12","12","2","2","2","2","2","2","-","2","2","2","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Muitos Cap�es","4312617","-28.313199999990","-51.183599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","24","24","24","24","30","20","20","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Muliterno","4312625","-28.325299999990","-51.769700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","30","30","30","30","0","20","20","20","25","25","30","-","15","10","6","6","3","3","-","-","-","-","-","-","-","-","-","-"
"N�o-Me-Toque","4312658","-28.454799999990","-52.818199999990","340","250","300","200","80","100","70","183","180","180","100","150","100","100","100","100","100","10","40","31","30","30","45","30","30","30","30","30","10","10","10","10","8","8","8","5","-","-","-","-","-","-","-","-","-","-","-","-"
"Nicolau Vergueiro","4312674","-28.529800000000","-52.467599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","36","34","34","4","4","28","28","28","28","26","26","15","-","15","12","8","5","2","-","-","-","-","-","-","-","-","-","-","-"
"Nonoai","4312708","-27.368900000000","-52.775599999990","120","498","550","550","700","1.500","1.500","1.000","1.000","950","800","820","800","800","805","512","690","0","100","30","20","20","140","140","10","80","80","60","60","60","48","-","48","48","30","20","10","10","5","3","3","2","-","-","-","-","-","-"
"Nova Alvorada","4312757","-28.682200000000","-52.163100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","90","90","90","90","80","80","80","60","50","20","20","10","10","8","8","8","5","8","8","8","-","-","-","-","-","-","-","-","1","2","1","-","-"
"Nova Ara��","4312807","-28.653700000000","-51.745800000000","25","25","27","17","21","22","22","44","44","22","22","22","25","25","26","26","25","25","25","30","30","30","7","20","10","10","5","5","3","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Bassano","4312906","-28.729099999990","-51.707200000000","200","190","180","129","110","115","115","97","115","110","110","110","110","110","110","110","100","100","100","80","80","80","50","30","30","20","20","20","10","30","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Boa Vista","4312955","-27.992599999990","-52.978400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","23","23","23","8","23","15","5","5","5","5","5","5","5","5","5","5","4","4","-","-","-","-","-","-","-","-","1","2","2"
"Nova Br�scia","4313003","-29.218200000000","-52.031900000000","40","117","30","40","30","20","25","100","100","100","108","100","105","105","105","105","105","-","90","90","90","45","50","20","20","10","10","6","6","6","8","8","8","8","8","5","3","2","1","1","1","-","-","-","-","-","-","-"
"Nova Candel�ria","4313011","-27.613700000000","-54.107399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","2","2","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Esperan�a do Sul","4313037","-29.406600000000","-54.829300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","140","140","100","312","320","310","310","260","260","300","350","400","400","400","390","430","440","430","430","300","300","230","300","230","230","230","195","220","200","200","200","180","200"
"Nova Hartz","4313060","-29.580700000000","-50.905099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","32","32","12","17","7","5","5","11","5","5","11","11","11","11","5","5","5","5","5","5","5","5","5","5","5","5","-","-","-","1","1","1","-"
"Nova P�dua","4313086","-29.027500000000","-51.309800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","10","10","-","10","10","10","10","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Palma","4313102","-29.471000000000","-53.468899999990","350","350","350","350","350","321","350","55","35","35","35","35","-","60","70","70","55","25","80","90","100","120","140","121","121","131","145","150","155","165","180","175","175","175","175","175","100","150","150","150","150","150","150","150","150","150","150","150"
"Nova Petr�polis","4313201","-29.374099999990","-51.113500000000","85","150","190","100","100","105","110","241","245","245","250","300","300","300","300","300","300","150","18","16","16","16","19","16","10","10","10","10","8","8","8","8","2","2","2","2","2","2","2","-","-","-","-","-","-","-","-","-"
"Nova Prata","4313300","-28.779900000000","-51.611300000000","520","400","480","404","410","420","420","428","420","420","420","420","420","400","400","150","150","120","100","100","50","50","25","25","15","5","5","5","3","-","-","-","-","-","-","-","-","-","1","1","-","-","-","-","-","-","-","-"
"Nova Ramada","4313334","-28.066700000000","-53.699199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","75","55","55","55","55","35","35","30","30","30","20","20","13","8","2","-","-","-","-","-","-","-","-","-","-"
"Nova Roma do Sul","4313359","-28.988199999990","-51.409500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","30","30","30","30","30","30","1","30","30","30","10","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Santa Rita","4313375","-29.852499999990","-51.283700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.021","2.775","2.775","2.775","2.775","2.200","2.200","2.000","1.600","1.600","1.600","1.600","1.500","1.700","2.300","2.300","3.500","3.000","2.533","3.900","3.900","3.900","3.900","4.100","4.000","4.100","4.100","4.100","4.100"
"Novo Barreiro","4313490","-27.907699999990","-53.110300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","130","130","100","103","100","100","30","30","30","30","30","30","30","30","30","30","30","10","10","5","-","-","-","-","-","-","-","-","-"
"Novo Cabrais","4313391","-29.733799999990","-52.948900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.557","1.505","1.605","1.610","1.610","1.625","1.915","1.915","1.916","2.006","2.067","2.100","2.100","2.000","2.100","1.900","1.900","1.950","1.950","1.950","1.650","1.650","1.650","1.650","1.650"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","20","18","8","20","20","18","18","7","15","18","41","35","10","12","15","2","2","16","16","52","-","-","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Novo Machado","4313425","-27.576499999990","-54.503599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","15","16","14","6","14","14","14","14","14","14","14","7","5","5","5","-","-","5","5","5","5","5","5","-","5","5","-","-"
"Novo Tiradentes","4313441","-27.564900000000","-53.183700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","20","12","20","20","20","20","20","20","20","20","20","20","20","20","20","-","-","-","-","-","-","-","-","-","-","-","-"
"Novo Xingu","4313466","-27.743099999990","-53.061599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","3","3","3","3","3","3","3","4","4","-","-","-","-","-","-","-","-","-","-","-"
"Os�rio","4313508","-29.888100000000","-50.266700000000","10.945","10.373","10.821","12.500","13.200","9.429","10.500","9.336","11.620","3.304","3.287","3.206","3.800","4.950","4.950","4.140","3.700","3.700","3.480","3.480","3.410","3.410","2.730","2.730","2.730","2.730","2.730","1.810","3.610","3.610","5.015","5.015","5.015","5.015","3.000","3.000","3.000","3.500","3.670","3.670","3.600","3.500","3.500","4.000","4.000","4.000","4.000","4.200"
"Paim Filho","4313607","-27.707500000000","-51.762999999990","113","128","150","200","150","220","250","188","188","700","400","200","210","210","215","100","100","0","100","120","120","120","45","120","120","60","60","60","60","60","60","-","30","15","15","5","5","5","5","5","2","-","-","-","-","-","-","-"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","...","...","...","...","...","...","...","...","...","10.000","15.073","15.073","17.000","17.500","17.500","20.200","20.838","17.800","20.000","24.124","24.022","24.500","24.500","13.480","13.000","17.180","17.180","15.462","15.462","15.872","20.721","23.268","19.212","18.865","18.865","19.684","19.684","23.148","23.118","23.220","21.249","23.350","22.500","19.500","19.101","12.845","11.412","13.000"
"Palmeira das Miss�es","4313706","-27.900600000000","-53.313400000000","650","600","463","700","700","800","800","1.300","1.300","900","1.000","1.015","115","230","1.250","935","935","935","950","420","430","430","220","350","350","350","350","347","347","347","347","347","350","350","350","150","350","-","-","-","-","-","-","-","-","-","-","-"
"Palmitinho","4313805","-27.359600000000","-53.558000000000","12","50","50","560","-","-","450","200","200","220","230","200","200","200","200","190","190","0","100","70","70","70","77","70","70","80","80","80","80","80","80","80","80","80","80","40","40","40","-","-","-","-","-","-","-","2","2","2"
"Panambi","4313904","-28.283300000000","-53.502299999990","250","220","220","220","180","200","200","123","183","116","110","110","110","140","60","50","45","0","55","50","50","50","23","50","50","25","25","25","25","25","25","25","20","10","10","10","10","10","-","-","-","-","-","-","-","-","-","-"
"Pantano Grande","4313953","-30.190100000000","-52.372900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4.000","4.000","4.000","4.800","4.500","4.500","4.000","3.000","3.000","3.400","4.200","4.200","4.000","4.000","4.000","5.000","4.750","5.000","5.000","5.000","5.000","5.500","5.800","4.800","4.719","4.650","4.650","3.480","4.420","4.420","4.530","4.200","4.200"
"Para�","4314001","-28.596399999990","-51.789600000000","160","150","150","112","90","91","91","82","91","90","90","90","90","90","90","95","95","90","90","70","50","35","30","15","15","12","8","8","4","2","1","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Para�so do Sul","4314027","-29.671700000000","-53.143999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.250","2.050","1.530","2.050","2.050","2.550","2.550","2.750","2.550","2.460","2.860","2.860","3.040","3.750","3.810","3.860","3.550","3.800","4.088","4.088","4.168","3.292","4.118","3.610","3.922","3.960","3.990","3.559","3.855","3.765","3.855","3.943","3.800"
"Pareci Novo","4314035","-29.636500000000","-51.397399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3","3","3","1","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Parob�","4314050","-29.624300000000","-50.831200000000","...","...","...","...","...","...","...","...","...","21","37","42","35","35","-","40","40","30","30","30","25","25","2","25","5","2","-","-","1","12","12","36","18","18","18","18","31","26","22","22","34","-","-","-","-","-","-","-"
"Passa Sete","4314068","-29.457699999990","-52.959899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","30","30","30","30","30","30","30","15","30","10","-","5","-","-","-","-","-","-","-","-","-","-","-","-"
"Passo do Sobrado","4314076","-29.748000000000","-52.274799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","700","450","640","600","620","875","1.010","1.250","1.150","1.150","830","880","700","800","800","650","880","1.200","1.150","1.000","800","800","800","790","490","494","570","570","600"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","200","405","136","1.200","200","500","210","900","1.050","900","900","900","600","700","550","270","250","120","250","122","122","122","88","170","170","100","100","100","80","50","50","15","30","30","20","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Paulo Bento","4314134","-27.697800000000","-52.426099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8","8","8","8","-","5","2","2","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Paverama","4314159","-29.548500000000","-51.733899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","20","20","20","20","20","8","5","5","-","-","-","-","2","0","1","-","-","2","2","2","3","-","-","-","-","-","-","-","-","-","-"
"Pedras Altas","4314175","-31.721699999990","-53.583799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","500","2.500","2.500","1.953","2.156","2.300","2.300","2.300","2.183","2.183","2.173","900","2.000","2.000","1.850","1.850","2.428","1.530","810","535","585"
"Pedro Os�rio","4314209","-31.864200000000","-52.818399999990","1.568","2.221","1.859","2.500","2.000","2.155","2.300","2.396","2.900","2.900","3.000","3.000","3.300","3.300","3.300","4.100","2.500","3.000","3.000","3.000","3.000","3.000","3.600","1.900","4.000","4.100","4.100","4.100","4.100","3.400","3.400","3.545","2.720","2.720","2.900","2.855","3.350","4.671","3.478","3.855","4.154","3.909","3.549","3.836","2.782","1.987","2.201","3.505"
"Peju�ara","4314308","-28.428300000000","-53.657899999990","120","80","80","80","-","70","65","50","115","65","65","65","60","60","15","60","60","60","60","50","48","48","30","30","30","30","30","30","30","30","-","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pelotas","4314407","-31.764900000000","-52.337100000000","6.970","8.744","11.331","9.000","7.800","9.278","9.500","9.800","9.800","12.152","11.500","9.200","10.500","12.000","12.000","12.000","8.400","8.400","8.200","8.400","10.750","10.750","10.230","7.440","6.500","7.500","7.700","9.300","8.700","8.500","9.910","8.227","7.710","8.010","10.010","9.912","10.109","9.138","6.968","7.772","7.177","8.071","8.244","8.086","8.035","7.177","7.422","7.967"
"Picada Caf�","4314423","-29.446400000000","-51.136699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","12","12","12","8","8","8","4","4","4","4","4","4","4","4","4","4","4","2","2","2","2","1","1","1","1","1","1","1"
"Pinhal","4314456","-27.507999999990","-53.208199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","95","95","70","70","70","50","50","15","20","20","20","20","20","20","20","20","20","10","10","10","10","2","-","-","-","-","-","-","-","-","-","-","-"
"Pinhal da Serra","4314464","-27.863399999990","-51.170200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","20","10","10","-","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pinhal Grande","4314472","-29.344999999990","-53.320700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","100","50","40","76","40","40","30","47","70","110","110","160","140","150","150","120","120","125","-","-","-","-","-","-","-","-","-","-","-"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","20","20","52","20","20","53","53","53","53","53","53","53","53","53","53","-","-","-","-","-","-","1","1","1","1","1","1","1"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","50","105","86","340","680","422","800","515","500","524","861","815","710","810","820","820","300","300","482","820","600","400","294","400","150","500","500","500","500","500","20","42","50","50","50","50","50","50","-","-","-","-","-","70","70","70","-","46"
"Pinto Bandeira","4314548","-29.000000000000","-54.000000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-"
"Pirap�","4314555","-28.043900000000","-55.200099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25","35","95","130","110","100","75","30","65","40","-","30","10","10","10","10","-","5","7","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Piratini","4314605","-31.447299999990","-53.097299999990","394","383","382","2.000","2.000","391","2.000","420","420","420","420","420","420","420","314","440","440","440","820","820","1.320","1.320","1.060","1.060","1.080","1.080","1.080","1.080","1.080","1.080","970","1.080","1.060","760","750","666","666","657","528","618","543","521","599","650","618","580","535","472"
"Planalto","4314704","-27.329699999990","-53.057500000000","51","163","230","230","200","500","300","250","250","200","150","120","90","90","160","165","165","0","150","105","105","105","48","30","30","50","50","50","50","50","50","50","50","50","50","50","50","10","2","2","2","2","2","2","2","1","1","1"
"Po�o das Antas","4314753","-29.448100000000","-51.671900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","10","0","7","8","8","7","13","7","7","7","7","4","4","4","5","-","4","2","2","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Pont�o","4314779","-28.058499999990","-52.679099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","40","90","75","160","75","75","75","75","75","40","40","40","40","40","30","20","20","20","23","-","-","-","-","-","-","-","-","-","-"
"Ponte Preta","4314787","-27.658700000000","-52.484800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","50","50","50","37","37","30","20","20","15","15","10","10","-","10","10","10","10","10","8","-","-","-","-","-","-","-","-","-","-"
"Port�o","4314803","-29.701499999990","-51.242899999990","45","30","55","20","30","28","15","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","5","5","5","5","5","5","5","5","5","5","164","173","173","173","173","173","170","170","170","170","170","170","170","160","160","160"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","143","501","457","550","400","184","-","3","50","168","160","160","560","850","650","550","500","500","500","700","735","665","790","665","790","1.080","1.080","1.080","1.080","1.080","500","500","432","434","500","500","500","273","250","275","250","403","452","411","710","630","370","398"
"Porto Lucena","4315008","-27.856900000000","-55.009999999990","65","65","65","65","70","50","50","64","65","91","101","100","10","100","100","80","80","50","50","20","20","20","6","21","21","10","10","10","3","22","0","-","5","5","2","2","-","-","-","-","-","-","-","-","-","-","-","-"
"Porto Mau�","4315057","-27.579599999990","-54.665700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6","6","6","1","6","6","6","6","6","6","4","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","-","-"
"Porto Vera Cruz","4315073","-27.740500000000","-54.899400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8","8","8","-","8","8","8","8","8","8","8","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","55","53","50","50","50","50","50","84","84","84","86","86","54","58","47","73","73","120","320","205","255","250","170","10","14","70","50","15","10","5","2","-","5","5","3","1","1","-","-","-","-","-","-","-","-","-","-","-"
