"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1974 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1975 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1976 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1977 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1978 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1979 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1980 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1981 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1982 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1983 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1984 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1985 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1986 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1987 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1988 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1989 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1990 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1991 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1992 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1993 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1994 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1995 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1996 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1997 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1998 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1999 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2000 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2001 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2002 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2003 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2004 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2005 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2006 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2007 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2008 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2009 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2010 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2011 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2012 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2013 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2014 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2015 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2016 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2017 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2018 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2019 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2020 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2021 (t)"
"Chuvisca","4305447","-30.750399999990","-51.973700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","48","40","-","14","14","14","-","-","-","-","-","-","-","-","-","11","11","13","13","32","40","33","19","28","32"
"Cidreira","4305454","-30.160399999990","-50.233800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4.998","3.977","3.157","3.250","6.532","5.945","6.596","5.580","2.392","2.686","2.424","2.373","2.115","2.340","2.183","2.633","2.548","5.014","5.965","5.856","7.622","4.912","7.854","7.786","7.309","7.241","7.051","7.113","6.996","9.247","8.375","8.185","11.980"
"Cir�aco","4305504","-28.341899999990","-51.874099999990","176","442","180","510","146","40","248","197","171","156","299","250","137","335","156","249","229","51","270","210","210","210","49","105","88","43","43","108","108","108","54","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Colinas","4305587","-29.381499999990","-51.852600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","3","3","-","3","3","3","3","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Colorado","4305603","-28.525800000000","-52.992800000000","228","306","340","300","72","40","108","90","78","91","380","155","25","57","32","74","63","0","135","90","90","90","13","27","40","24","20","24","14","14","14","8","14","14","14","7","4","4","-","-","-","-","-","-","-","-","-","-"
"Condor","4305702","-28.207500000000","-53.490499999990","420","840","840","840","150","240","388","222","226","150","442","295","372","106","150","180","120","0","75","100","100","100","178","90","105","105","105","105","74","42","19","10","19","19","19","6","2","3","6","-","-","-","-","-","-","-","-","-"
"Constantina","4305801","-27.731999999990","-52.993800000000","720","519","1.075","600","186","6","350","276","70","209","228","114","36","20","80","104","156","15","234","156","156","156","64","75","30","45","30","27","18","18","12","4","9","9","9","5","6","-","-","-","-","-","-","-","-","-","-","-"
"Coqueiro Baixo","4305835","-29.172200000000","-52.098900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","9","9","9","9","-","9","9","9","5","5","5","3","5","-","-","-","-","-","-","-","-"
"Coqueiros do Sul","4305850","-28.119399999990","-52.784199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","166","210","210","130","67","67","42","25","10","10","10","10","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Coronel Barros","4305871","-28.392199999990","-54.068600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","40","40","40","10","20","20","20","10","20","15","18","18","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Coronel Bicaco","4305900","-27.719700000000","-53.702199999990","475","540","540","540","50","-","440","263","165","353","306","168","270","590","390","840","630","363","900","650","720","720","143","810","810","780","780","780","780","780","780","558","780","1.500","1.500","1.500","259","60","18","-","-","-","-","-","-","-","-","-"
"Coronel Pilar","4305934","-29.268400000000","-51.687899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1","1","1","0","-","2","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-"
"Cotipor�","4305959","-28.989100000000","-51.697099999990","...","...","...","...","...","...","...","...","...","108","38","38","15","30","16","30","25","7","28","25","21","21","16","16","16","8","8","8","4","4","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Coxilha","4305975","-28.128000000000","-52.302300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","147","147","147","130","75","18","18","18","18","18","11","8","1","8","8","8","8","4","4","-","-","-","-","-","-","-","-","-","-"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","135","270","270","300","122","27","540","367","184","36","340","260","180","100","102","306","306","136","306","64","64","48","32","8","34","34","34","34","34","34","34","-","8","10","10","5","2","6","-","-","-","-","-","-","-","-","-","-"
"Cristal","4306056","-31.004600000000","-52.043599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15.974","10.860","17.050","18.890","24.320","25.950","31.900","25.488","17.305","15.632","26.407","22.693","23.760","26.290","23.665","31.290","32.359","33.057","30.009","32.515","50.430","42.030","63.150","45.090","45.525","41.250","45.635","31.997","36.940","33.117","38.000","36.194","42.740"
"Cristal do Sul","4306072","-27.452000000000","-53.242199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","19","19","19","19","87","87","87","87","87","87","87","87","43","32","25","9","3","-","-","-","2","-","-","-","2"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","630","270","720","720","720","400","480","507","105","450","680","630","335","625","280","644","820","370","1.360","955","955","955","303","624","135","575","448","345","410","90","714","520","201","201","203","54","-","-","-","-","-","-","-","-","-","-","-","-"
"Cruzaltense","4306130","-27.664400000000","-52.649200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8","6","6","3","-","5","5","5","4","5","5","5","5","5","5","-","-","-","-","-","-"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","1.200","449","847","400","200","492","657","723","743","1.058","943","1.274","1.678","1.515","2.058","1.972","1.785","1.781","1.883","1.194","1.194","2.017","1.804","1.782","1.426","1.782","1.782","2.640","2.940","3.420","4.215","3.780","4.230","5.805","5.805","4.419","4.755","4.530","4.508","5.420","5.420","5.805","5.790","5.031","5.366","4.731","4.881","5.232"
"David Canabarro","4306304","-28.384899999990","-51.848199999990","324","177","163","160","90","24","252","153","126","165","253","211","121","117","15","112","105","0","96","54","54","54","28","9","54","13","13","11","11","15","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Derrubadas","4306320","-27.264199999990","-53.864500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","56","56","56","24","45","32","32","32","18","18","18","6","6","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dezesseis de Novembro","4306353","-28.219000000000","-55.061700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","980","660","464","315","265","265","265","670","265","265","405","415","8","8","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Dilermando de Aguiar","4306379","-29.705400000000","-54.212200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15.000","11.700","20.125","22.425","22.425","11.752","7.669","13.045","9.844","13.197","13.167","22.780","22.780","17.688","22.780","20.502","22.304","19.680","17.550","16.000","16.000","21.600","15.750","19.500","21.600"
"Dois Irm�os","4306403","-29.583600000000","-51.089799999990","300","300","280","300","240","32","375","654","525","525","472","517","210","400","273","156","156","91","156","15","15","15","3","5","4","6","3","3","3","3","2","-","1","1","1","1","1","1","1","1","1","1","1","1","1","-","-","-"
"Dois Irm�os das Miss�es","4306429","-27.662099999990","-53.530400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","192","132","120","91","105","165","120","120","120","48","48","48","38","46","46","46","46","2","-","-","-","-","-","-","-","-","-","-","-"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","170","170","0","204","108","36","90","70","45","45","45","45","45","38","38","11","13","22","23","8","-","-","-","-","-","-","-","-","4","-","-","-","-"
"Dom Feliciano","4306502","-30.700399999990","-52.102600000000","254","19","450","525","950","668","885","995","956","617","956","995","525","725","701","550","702","834","676","765","765","765","276","540","470","680","665","665","715","715","550","500","450","250","250","489","288","302","302","302","302","302","302","187","187","158","147","158"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","59.360","85.592","106.106","70.000","106.471","71.473","102.000","99.675","112.500","73.685","112.500","125.000","96.000","114.400","130.000","111.280","28.600","115.200","179.550","175.021","143.555","196.650","196.000","160.000","169.200","284.160","204.816","297.044","284.490","230.867","319.500","301.063","335.835","204.240","347.170","381.654","310.792","438.115","278.472","331.047","353.742","419.521","339.141","411.545","372.562","285.033","319.523","251.415"
"Dom Pedro de Alc�ntara","4306551","-29.363900000000","-49.853000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","216","208","208","905","815","1.755","1.755","1.614","1.518","908","1.403","1.568","1.568","1.567","1.362","1.672","798","332","313","313","560","517","646","646","646"
"Dona Francisca","4306700","-29.619499999990","-53.361699999990","1.494","1.970","2.412","2.740","2.740","1.930","2.660","5.164","6.600","3.918","6.600","7.150","8.250","9.100","9.425","10.725","9.653","11.050","11.375","12.250","13.000","13.650","14.490","14.300","11.176","16.909","16.117","14.914","16.571","13.507","16.946","18.170","17.480","17.978","19.035","19.858","13.630","21.268","22.396","21.268","20.210","19.035","16.644","21.738","21.738","19.505","21.503","21.444"
"Doutor Maur�cio Cardoso","4306734","-27.510300000000","-54.357799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","66","46","42","154","152","152","224","78","186","186","186","186","186","186","186","26","1","6","2","2","2","2","2","6","6","6","6","6","6","6","6","-","-"
"Doutor Ricardo","4306759","-29.084000000000","-51.997100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8","8","8","7","9","9","9","9","1","4","8","8","5","5","3","1","2","4","6","-","-","-","-","-","-"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","32.412","31.111","29.508","30.000","27.008","33.773","33.773","33.773","24.200","26.220","29.469","23.605","22.189","33.000","30.426","45.954","55.018","54.219","57.050","54.952","64.838","63.271","76.198","74.378","73.896","81.200","80.111","80.290","83.995","60.775","83.604","87.467","89.403"
"Encantado","4306809","-29.235099999990","-51.870300000000","300","210","300","280","140","-","30","156","90","140","163","169","126","252","196","177","140","16","160","165","165","80","20","4","4","-","-","-","-","-","-","-","1","1","1","1","1","2","1","2","2","-","-","-","-","-","-","-"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","2.355","2.652","3.172","4.352","4.030","2.283","4.200","9.351","6.200","6.178","8.590","7.150","6.150","8.625","6.900","6.250","5.800","4.700","5.850","6.050","4.380","4.200","5.280","4.500","4.950","7.525","7.513","7.213","7.163","3.822","6.780","5.750","5.150","5.150","6.150","11.265","9.765","11.700","11.700","11.250","9.750","9.420","9.990","10.500","8.400","9.450","4.900","8.024"
"Engenho Velho","4306924","-27.706000000000","-52.914499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","39","39","39","36","15","15","8","8","8","9","9","9","2","9","9","9","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","111","111","0","75","75","75","30","34","34","48","74","74","74","15","27","2","-","7","7","7","7","2","2","-","-","-","-","-","-","-","-","-","-"
"Entre-iju�s","4306932","-28.368600000000","-54.268599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","238","325","45","490","460","460","360","105","160","160","100","74","90","104","110","7","-","36","36","36","36","36","36","-","-","-","-","-","-","-","-","-","-"
"Erebango","4306973","-27.854399999990","-52.300500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","135","135","75","135","120","120","120","30","60","60","37","38","38","38","38","23","15","33","33","33","33","33","65","65","65","33","17","20","8","21","8","8","7"
"Erechim","4307005","-27.636399999990","-52.269700000000","1.980","3.750","2.697","3.640","600","450","2.000","997","443","1.120","960","820","804","592","1.009","1.333","1.332","126","1.116","864","864","864","80","66","255","32","30","6","3","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ernestina","4307054","-28.497699999990","-52.583599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","243","146","6","162","160","160","160","25","23","23","36","36","39","37","15","9","-","5","3","3","6","6","8","-","-","-","-","-","-","-","-","-","-"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","300","624","672","720","84","-","200","195","129","180","192","148","143","153","187","240","240","51","225","225","225","180","117","117","30","16","30","23","6","30","15","-","13","9","9","2","2","3","1","3","3","3","2","3","3","3","6","4"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","110","700","700","244","-","-","1.200","720","341","325","518","495","550","880","357","866","675","54","570","355","355","355","95","438","355","355","355","355","355","255","207","229","140","140","140","140","52","-","-","-","-","-","-","-","-","-","-","-"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","30","60","60","60","26","40","40","19","30","30","30","30","45","39","50","52","60","14","60","60","60","68","158","86","86","86","86","38","38","15","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Esperan�a do Sul","4307450","-27.360299999990","-53.989100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","7","7","7","7","7","7","-","6","6","-","6","6","-","6","-","-","-","-","-","-","-","-","-"
"Espumoso","4307500","-28.728600000000","-52.846100000000","150","150","250","1.250","300","225","525","455","300","469","220","50","33","93","30","30","30","4","138","132","86","119","130","90","170","69","51","46","31","31","26","7","20","20","20","20","20","10","-","-","-","-","-","-","-","-","-","-"
"Esta��o","4307559","-27.913499999990","-52.263500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","63","45","0","30","30","30","18","10","8","8","8","8","8","4","4","1","-","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Est�ncia Velha","4307609","-29.653500000000","-51.184300000000","-","-","-","-","-","-","-","4","4","4","5","5","3","-","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Esteio","4307708","-29.852000000000","-51.184100000000","300","724","1.113","1.130","836","272","840","490","504","1.295","627","403","553","620","403","1.481","850","415","350","280","250","250","412","480","213","213","1.066","1.066","1.394","1.927","1.927","1.932","1.470","1.470","2.100","2.100","2.071","2.100","3.200","2.800","1.400","1.400","1.400","1.400","3.150","3.150","3.150","3.150"
"Estrela","4307807","-29.501600000000","-51.960500000000","98","98","190","140","70","70","112","178","57","77","303","372","52","71","68","43","42","42","43","34","17","39","-","32","23","23","1","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Estrela Velha","4307815","-29.171299999990","-53.163899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12","33","17","23","20","20","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Eug�nio de Castro","4307831","-28.531500000000","-54.150599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","120","200","0","360","285","276","276","105","218","217","90","75","90","90","18","25","-","10","10","1","2","-","-","-","-","-","-","-","-","-","-","-","-"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4","96","14","120","120","90","90","26","7","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","414","510","510","408","408","480","480","238","181","63","126","126","60","36","32","36","36","36","27","27","27","27","8","5","8","9","9","9","9","10","10","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Faxinal do Soturno","4308003","-29.578800000000","-53.448399999990","2.666","2.624","3.080","3.704","3.404","2.904","2.960","4.400","4.888","3.154","5.000","5.750","6.175","11.000","12.000","13.000","12.000","9.900","13.200","7.440","6.630","8.100","8.400","8.038","8.310","11.435","11.745","10.845","10.860","10.860","12.410","13.185","13.060","14.008","13.808","14.004","10.500","15.507","10.450","15.000","13.000","12.000","15.000","16.000","15.000","12.350","14.250","16.150"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","129","129","45","92","94","90","120","72","108","90","90","72","72","40","120","48","-","80","20","15","5","18","5","1","-","-","-","-","-","-","-","-","-"
"Fazenda Vilanova","4308078","-29.588500000000","-51.821700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","8","6","-","-","-","-","-","-","-","-","-","-","-","-"
"Feliz","4308102","-29.452700000000","-51.303199999990","500","180","180","360","225","120","300","356","118","300","400","400","170","225","180","72","63","90","75","15","15","20","20","20","22","20","20","20","20","10","10","5","10","10","10","10","10","10","10","-","-","-","-","-","-","-","-","-"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","24","210","210","42","120","144","144","72","66","40","90","120","240","180","240","325","260","92","63","13","13","13","1","7","7","8","8","8","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Floriano Peixoto","4308250","-27.861400000000","-52.083799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","90","90","90","90","90","45","45","8","-","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","54","36","57","100","30","35","70","383","150","300","450","540","180","150","144","294","168","48","45","45","45","45","54","39","45","45","36","40","27","34","15","2","5","8","8","8","4","4","-","-","-","-","-","-","-","-","-","-"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","13.045","15.256","16.653","19.000","22.500","11.280","18.500","26.441","30.708","29.715","39.000","35.000","21.000","30.000","27.000","30.000","24.000","25.000","22.500","25.000","18.750","39.600","35.000","31.500","26.250","36.750","35.000","46.000","50.600","36.860","50.606","33.885","57.602","61.110","61.759","67.209","47.572","65.294","60.535","59.282","59.850","64.010","51.347","67.597","70.374","63.559","64.583","56.250"
"Forquetinha","4308433","-29.379200000000","-52.091700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","2","2","2","1","2","2","2","2","1","1","-","-","-","-","-","-","-","-","-","-"
"Fortaleza dos Valos","4308458","-28.798600000000","-53.224899999990","...","...","...","...","...","...","...","...","...","45","60","81","105","90","72","135","115","42","276","276","276","276","201","90","54","54","54","57","32","13","4","-","5","6","6","4","4","4","-","-","-","-","-","-","-","-","-","-"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","17","1.325","1.000","910","-","-","200","479","240","328","415","380","304","532","240","339","338","0","90","150","150","150","139","80","80","420","420","420","420","420","420","420","420","200","200","80","80","200","20","20","7","5","15","24","23","19","19","19"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","110","120","300","228","50","39","162","78","26","91","144","47","57","78","83","83","108","12","112","49","30","20","17","1","1","1","-","-","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Garruchos","4308656","-28.194400000000","-55.638300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10.000","6.000","6.360","1.675","12.720","9.600","11.520","10.800","6.750","6.750","6.150","5.238","5.572","4.130","2.499","2.319","2.905","3.517","7.488","6.859","6.380","7.520","4.595","5.523","2.880","1.677","1.527","1.296","1.440"
"Gaurama","4308706","-27.585599999990","-52.091500000000","480","908","741","600","132","80","600","413","331","696","870","725","551","348","711","360","300","0","120","120","75","45","65","62","32","26","40","40","18","54","30","-","36","40","36","18","48","36","10","6","9","9","5","-","-","-","-","-"
"General C�mara","4308805","-29.903199999990","-51.761200000000","6.600","6.714","8.351","8.787","8.400","5.484","7.200","12.000","11.400","9.544","12.600","13.760","17.200","15.000","16.280","16.400","14.000","9.840","9.000","16.650","15.200","16.150","16.150","5.590","5.590","5.980","483","8.223","10.164","10.070","11.550","10.320","9.152","11.440","12.110","12.110","10.280","13.237","11.934","12.420","11.160","12.060","11.715","14.394","14.000","15.238","12.883","14.212"
"Gentil","4308854","-28.431600000000","-52.033700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","56","56","43","21","24","27","23","23","36","36","36","11","-","15","18","18","18","18","18","-","-","-","-","-","-","-","-","-","-"
"Get�lio Vargas","4308904","-27.891100000000","-52.229399999990","2.400","2.880","3.642","2.380","1.350","4.500","4.150","2.555","676","1.575","1.598","1.452","270","372","600","558","540","90","180","180","180","180","180","60","60","60","60","45","30","30","8","-","4","4","5","4","-","-","-","-","-","-","-","-","-","-","-","-"
"Giru�","4309001","-28.029699999990","-54.351700000000","243","500","301","630","473","150","450","572","270","450","456","474","392","600","156","696","736","120","2.700","3.200","1.810","2.125","1.128","645","375","1.015","1.040","840","1.036","302","302","102","185","185","200","180","180","108","75","-","-","-","-","-","-","-","-","-"
"Glorinha","4309050","-29.879799999990","-50.773400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7.500","5.850","7.800","6.960","6.760","6.000","7.500","7.725","7.725","7.725","7.725","7.725","5.475","7.500","7.950","7.322","6.373","6.709","6.709","5.916","5.916","7.280","13.256","15.423","19.380","14.976","14.910","13.845","14.200","14.980","14.460","13.737","10.008"
"Gramado","4309100","-29.373300000000","-50.876199999990","72","225","210","225","240","180","186","146","113","90","90","90","58","57","27","38","51","34","67","55","55","55","4","8","8","7","7","5","5","5","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gramado dos Loureiros","4309126","-27.442900000000","-52.914900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","60","60","60","29","29","60","38","38","30","18","45","13","-","8","2","2","3","3","3","2","3","3","-","-","-","-","-","-","-"
"Gramado Xavier","4309159","-29.270600000000","-52.579500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","168","170","42","16","16","16","16","12","12","12","6","4","4","5","5","5","5","5","11","11","11","11","11","13","13","13","13","9","13"
"Gravata�","4309209","-29.941299999990","-50.986899999990","4.200","2.118","3.247","4.000","3.200","2.043","3.400","2.070","2.146","4.165","3.576","5.650","5.255","10.100","7.600","1.000","900","1.800","1.566","2.000","1.600","1.860","2.093","2.320","2.068","2.326","2.223","2.223","2.844","2.844","2.844","2.250","2.475","2.967","2.983","5.940","4.815","4.785","3.521","3.500","3.500","3.500","3.500","3.500","5.600","5.600","5.600","5.600"
"Guabiju","4309258","-28.542100000000","-51.694800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","70","70","10","53","53","39","35","26","18","12","12","12","12","12","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gua�ba","4309308","-30.108599999990","-51.323300000000","8.737","11.144","11.568","13.680","13.250","7.637","14.000","15.159","17.736","13.665","25.705","25.920","26.593","33.750","38.000","14.060","13.496","10.502","11.010","6.300","8.795","9.945","11.506","12.320","13.440","16.476","12.300","11.334","14.941","14.445","14.586","19.382","20.467","24.126","25.145","26.594","25.682","27.970","26.118","28.289","27.690","27.938","28.303","30.181","29.289","29.500","29.651","30.566"
"Guapor�","4309407","-28.839900000000","-51.889499999990","609","594","662","576","372","275","600","280","130","345","518","552","23","352","246","173","173","18","198","155","155","155","48","70","42","42","42","42","28","28","10","7","14","13","13","7","6","6","2","2","2","2","2","2","2","2","-","-"
"Guarani das Miss�es","4309506","-28.149100000000","-54.562899999990","375","800","608","620","630","357","1.065","232","162","195","270","270","198","870","324","540","270","188","440","430","270","470","200","336","336","220","60","60","80","80","30","-","30","30","10","10","-","-","-","-","-","200","-","-","-","-","-","-"
"Harmonia","4309555","-29.545600000000","-51.418500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","160","85","82","105","105","105","69","15","15","10","10","6","6","6","6","6","3","6","6","6","6","6","6","6","6","6","6","-","-","-","-","-","-"
