"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1974 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1975 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1976 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1977 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1978 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1979 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1980 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1981 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1982 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1983 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1984 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1985 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1986 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1987 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1988 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1989 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1990 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1991 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1992 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1993 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1994 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1995 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1996 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1997 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1998 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1999 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2000 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2001 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2002 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2003 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2004 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2005 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2006 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2007 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2008 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2009 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2010 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2011 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2012 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2013 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2014 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2015 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2016 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2017 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2018 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2019 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2020 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2021 (t)"
"Severiano de Almeida","4320602","-27.436199999990","-52.121699999990","102","176","190","252","20","20","220","73","54","134","134","134","120","67","136","144","150","0","150","150","150","150","62","61","180","84","105","126","45","63","22","5","30","27","9","8","4","4","-","-","-","-","-","-","-","-","-","-"
"Silveira Martins","4320651","-29.646699999990","-53.591000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","18","20","6","40","40","40","40","31","10","13","8","6","10","10","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","435","435","435","345","276","225","225","225","75","38","30","23","6","31","31","25","25","25","25","25","25","25","10","11","16","16","16","16","16"
"Sobradinho","4320701","-29.419400000000","-53.032600000000","566","400","475","800","500","418","1.400","936","825","840","960","2.000","480","1.080","105","540","540","-","540","600","600","600","130","60","27","23","34","12","15","30","4","-","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Soledade","4320800","-28.830600000000","-52.513100000000","135","250","742","1.250","250","300","600","500","240","320","800","800","130","180","100","200","136","0","360","264","264","264","265","55","216","497","270","357","306","357","286","28","120","80","60","42","42","24","-","-","-","-","-","-","-","-","-","-"
"Taba�","4320859","-29.643000000000","-51.682299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tapejara","4320909","-28.065200000000","-52.009700000000","315","382","660","222","162","-","560","314","176","198","196","1.090","705","740","726","235","200","4","195","150","135","135","105","50","20","20","20","17","10","10","10","-","10","10","5","5","5","5","5","5","3","-","-","-","-","-","-","-"
"Tapera","4321006","-28.627700000000","-52.861199999990","60","90","100","200","100","60","130","72","44","48","75","45","48","150","8","60","38","1","126","44","44","44","8","10","27","13","13","15","22","42","34","8","11","21","21","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tapes","4321105","-30.668299999990","-51.399099999990","28.047","35.133","37.766","42.550","53.803","27.980","44.000","45.360","43.200","37.800","51.700","52.262","52.810","52.810","55.008","51.502","40.002","51.500","51.500","54.090","53.350","63.800","65.340","55.550","47.546","67.760","72.600","64.289","66.715","66.715","81.280","67.842","74.452","80.435","87.482","98.998","112.613","126.837","112.655","107.454","114.213","123.133","99.467","135.696","100.695","117.434","132.182","155.000"
"Taquara","4321204","-29.650500000000","-50.775300000000","2.160","485","364","1.080","936","381","398","400","286","394","1.071","2.553","2.515","2.157","2.000","446","1.916","2.122","2.122","2.122","2.122","2.711","519","3.300","574","904","898","1.393","1.393","3.318","3.318","3.314","3.860","3.860","5.610","5.260","6.006","5.600","6.120","7.200","8.000","6.400","7.040","6.400","7.187","5.722","4.008","5.724"
"Taquari","4321303","-29.794300000000","-51.865299999990","2.275","2.444","3.226","4.998","2.509","967","1.650","2.166","1.938","2.334","3.648","5.512","2.479","5.000","3.608","3.436","2.830","2.805","3.612","4.015","2.415","3.095","2.736","3.600","3.375","450","5.100","6.000","7.500","8.400","10.000","9.100","17.759","18.200","21.870","22.275","21.600","18.606","21.622","22.356","20.300","21.560","21.159","20.285","22.480","22.065","18.344","24.288"
"Taquaru�u do Sul","4321329","-27.400400000000","-53.470300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","59","113","0","88","112","112","112","80","102","102","125","125","125","125","125","125","78","78","78","78","20","20","20","20","4","4","4","4","6","6","4","4","4"
"Tavares","4321352","-31.284300000000","-51.088000000000","...","...","...","...","...","...","...","...","...","4.730","4.290","5.400","5.082","5.040","7.263","4.722","6.989","4.305","4.950","9.788","8.268","9.964","6.825","7.050","5.395","9.000","9.180","9.027","8.800","8.976","15.864","11.765","8.787","9.888","14.081","12.596","13.383","13.587","14.772","15.761","16.373","17.710","16.695","17.408","16.640","15.444","13.524","13.841"
